Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10
2,2,2,2,2,2,2,2,2,1.9924924841796883
2,2,2,2,2,2,2,2,2,1.9849849683593765
2,2,2,2,2,2,2,2,2,1.9774774525390648
2,2,2,2,2,2,2,2,2,1.969969936718753
2,2,2,2,2,2,2,2,2,1.9624624208984414
2,2,2,2,2,2,2,2,2,1.9549549050781296
2,2,2,2,2,2,2,2,2,1.947447389257818
2,2,2,2,2,2,2,2,2,1.9399398734375062
2,2,2,2,2,2,2,2,2,1.9324323576171945
2,2,2,2,2,2,2,2,2,1.9249248417968827
2,2,2,2,2,2,2,2,2,1.917417325976571
2,2,2,2,2,2,2,2,2,1.9099098101562593
2,2,2,2,2,2,2,2,2,1.9024022943359475
2,2,2,2,2,2,2,2,2,1.8948947785156358
2,2,2,2,2,2,2,2,2,1.887387262695324
2,2,2,2,2,2,2,2,2,1.8798797468750124
2,2,2,2,2,2,2,2,2,1.8723722310547006
2,2,2,2,2,2,2,2,2,1.864864715234389
2,2,2,2,2,2,2,2,2,1.8573571994140772
2,2,2,2,2,2,2,2,2,1.8498496835937654
2,2,2,2,2,2,2,2,2,1.8423421677734537
2,2,2,2,2,2,2,2,2,1.834834651953142
2,2,2,2,2,2,2,2,2,1.8273271361328303
2,2,2,2,2,2,2,2,2,1.8198196203125185
2,2,2,2,2,2,2,2,2,1.8123121044922068
2,2,2,2,2,2,2,2,2,1.804804588671895
2,2,2,2,2,2,2,2,2,1.7972970728515834
2,2,2,2,2,2,2,2,2,1.7897895570312716
2,2,2,2,2,2,2,2,2,1.78228204121096
2,2,2,2,2,2,2,2,2,1.7747745253906482
2,2,2,2,2,2,2,2,2,1.7672670095703364
2,2,2,2,2,2,2,2,2,1.7597594937500247
2,2,2,2,2,2,2,2,2,1.752251977929713
2,2,2,2,2,2,2,2,2,1.7447444621094013
2,2,2,2,2,2,2,2,2,1.7372369462890895
2,2,2,2,2,2,2,2,2,1.7297294304687778
2,2,2,2,2,2,2,2,2,1.722221914648466
2,2,2,2,2,2,2,2,2,1.7147143988281544
2,2,2,2,2,2,2,2,2,1.7072068830078426
2,2,2,2,2,2,2,2,2,1.699699367187531
